tf,level,strength,tol,rank
1d,9597.285497066667,0.09505703422053231,975.0,1
1d,7582.372098000002,0.07604562737642585,975.0,2
1d,28052.55814888889,0.045627376425855515,975.0,3
1d,3747.502727272727,0.04182509505703422,975.0,4
1d,29807.09148701754,0.03612167300380228,975.0,5
1d,25801.20611111111,0.034220532319391636,975.0,6
1d,11423.06580627451,0.03231939163498099,975.0,7
1d,45002.526,0.028517110266159697,975.0,8
1d,20049.439239111114,0.028517110266159697,975.0,9
1d,22059.065,0.026615969581749048,975.0,10
1d,16339.144052380952,0.026615969581749048,975.0,11
1d,58987.16428571429,0.026615969581749048,975.0,12
1d,24140.38278974359,0.024714828897338403,975.0,13
1d,18090.423076923078,0.024714828897338403,975.0,14
1d,64623.36307692307,0.024714828897338403,975.0,15
1d,37250.01133212121,0.02091254752851711,975.0,16
1d,40740.701,0.019011406844106463,975.0,17
1d,52891.353,0.019011406844106463,975.0,18
1d,42841.542,0.019011406844106463,975.0,19
1d,31554.878999999997,0.019011406844106463,975.0,20
1d,38987.043333333335,0.017110266159695818,975.0,21
1d,35226.72888888888,0.017110266159695818,975.0,22
1d,90856.31625,0.015209125475285171,975.0,23
1d,5297.675811666666,0.015209125475285171,975.0,24
1d,60320.08625,0.015209125475285171,975.0,25
1d,98312.61285714284,0.013307984790874524,975.0,26
1d,94461.05833333333,0.011406844106463879,975.0,27
1d,93025.88,0.011406844106463879,975.0,28
1d,99944.55666666669,0.011406844106463879,975.0,29
1d,106179.455,0.011406844106463879,975.0,30
1d,66772.86166666668,0.011406844106463879,975.0,31
1d,48629.304,0.009505703422053232,975.0,32
1d,102491.448,0.009505703422053232,975.0,33
1d,50402.426,0.009505703422053232,975.0,34
1d,86075.2125,0.0076045627376425855,975.0,35
1d,114122.945,0.0076045627376425855,975.0,36
1d,107634.3925,0.0076045627376425855,975.0,37
1d,55926.090000000004,0.0076045627376425855,975.0,38
1d,46498.0,0.0076045627376425855,975.0,39
1d,88958.28,0.0076045627376425855,975.0,40
1d,62450.035,0.0076045627376425855,975.0,41
1d,72135.8875,0.0076045627376425855,975.0,42
1d,68853.5175,0.0076045627376425855,975.0,43
1d,70583.51666666666,0.005703422053231939,975.0,44
1d,81078.22,0.005703422053231939,975.0,45
1d,73968.37333333334,0.005703422053231939,975.0,46
1d,32998.39,0.005703422053231939,975.0,47
1d,110592.45,0.005703422053231939,975.0,48
1d,87478.82666666666,0.005703422053231939,975.0,49
1d,109053.48333333334,0.005703422053231939,975.0,50
1d,12944.253333333334,0.005703422053231939,975.0,51
1d,116068.45999999999,0.0038022813688212928,975.0,52
1d,111950.0,0.0038022813688212928,975.0,53
1d,84136.385,0.0038022813688212928,975.0,54
1d,103808.11499999999,0.0038022813688212928,975.0,55
1d,14035.0,0.0038022813688212928,975.0,56
1d,120023.9,0.0038022813688212928,975.0,57
1d,117664.525,0.0038022813688212928,975.0,58
1d,124474.0,0.0019011406844106464,975.0,59
1d,123218.0,0.0019011406844106464,975.0,60
1d,95758.04,0.0019011406844106464,975.0,61
1d,78258.52,0.0019011406844106464,975.0,62
1d,76606.0,0.0019011406844106464,975.0,63
1d,126199.63,0.0019011406844106464,975.0,64
