tf,level,strength,tol,rank
4h,9151.974335600908,0.04503676470588235,360.0,1
4h,3740.2192561983475,0.03707107843137255,360.0,2
4h,8305.546588717949,0.027879901960784315,360.0,3
4h,9786.620843373494,0.02542892156862745,360.0,4
4h,10421.96674350877,0.023284313725490197,360.0,5
4h,6980.739076056338,0.021752450980392156,360.0,6
4h,7615.076515151516,0.02022058823529412,360.0,7
4h,16665.683435555555,0.01838235294117647,360.0,8
4h,26390.956833333334,0.01838235294117647,360.0,9
4h,29425.24142857143,0.01715686274509804,360.0,10
4h,11065.465892857144,0.01715686274509804,360.0,11
4h,19077.44331604938,0.016544117647058824,360.0,12
4h,27094.397968435376,0.015012254901960785,360.0,13
4h,28689.37512888889,0.013786764705882353,360.0,14
4h,11654.475281777775,0.013786764705882353,360.0,15
4h,30166.50451272727,0.013480392156862746,360.0,16
4h,5133.176196422764,0.012561274509803922,360.0,17
4h,27847.647454308943,0.012561274509803922,360.0,18
4h,25574.801282051278,0.011948529411764705,360.0,19
4h,43189.880512820506,0.011948529411764705,360.0,20
4h,19732.45105263158,0.011642156862745098,360.0,21
4h,42388.288918918915,0.01133578431372549,360.0,22
4h,22536.984999999997,0.011029411764705883,360.0,23
4h,20483.170121142855,0.010723039215686275,360.0,24
4h,23373.53059878788,0.01011029411764706,360.0,25
4h,41601.739354838704,0.009497549019607842,360.0,26
4h,40234.365333333335,0.009191176470588236,360.0,27
4h,62204.31310344828,0.008884803921568627,360.0,28
4h,30861.80142857143,0.00857843137254902,360.0,29
4h,38013.77428571428,0.00857843137254902,360.0,30
4h,46836.65074074074,0.008272058823529412,360.0,31
4h,59287.83925925926,0.008272058823529412,360.0,32
4h,37317.392592592594,0.008272058823529412,360.0,33
4h,39467.18185185185,0.008272058823529412,360.0,34
4h,59968.44962962963,0.008272058823529412,360.0,35
4h,17288.532962962963,0.008272058823529412,360.0,36
4h,21162.610769230774,0.007965686274509803,360.0,37
4h,57810.57730769231,0.007965686274509803,360.0,38
4h,58484.29519999999,0.007659313725490196,360.0,39
4h,21776.577200000003,0.007659313725490196,360.0,40
4h,43889.21920000001,0.007659313725490196,360.0,41
4h,65750.99208333333,0.007352941176470588,360.0,42
4h,34795.56291666667,0.007352941176470588,360.0,43
4h,45364.72565217392,0.0070465686274509805,360.0,44
4h,48155.78999999999,0.0070465686274509805,360.0,45
4h,64423.46565217391,0.0070465686274509805,360.0,46
4h,67302.7804347826,0.0070465686274509805,360.0,47
4h,40822.85863636364,0.006740196078431373,360.0,48
4h,66566.425,0.006740196078431373,360.0,49
4h,36394.36363636364,0.006740196078431373,360.0,50
4h,35550.53333333333,0.006433823529411764,360.0,51
4h,68971.51857142856,0.006433823529411764,360.0,52
4h,63554.852,0.006127450980392157,360.0,53
4h,68197.8255,0.006127450980392157,360.0,54
4h,61383.15526315789,0.005821078431372549,360.0,55
4h,47511.94210526316,0.005821078431372549,360.0,56
4h,18231.11315789474,0.005821078431372549,360.0,57
4h,5812.225789473685,0.005821078431372549,360.0,58
4h,34084.6905263158,0.005821078431372549,360.0,59
4h,89359.70888888888,0.0055147058823529415,360.0,60
4h,44497.27222222222,0.0055147058823529415,360.0,61
4h,24022.323333333334,0.0055147058823529415,360.0,62
4h,55579.17647058824,0.005208333333333333,360.0,63
4h,90317.95294117647,0.005208333333333333,360.0,64
4h,50467.151764705886,0.005208333333333333,360.0,65
4h,38628.99779607843,0.005208333333333333,360.0,66
4h,95727.58124999999,0.004901960784313725,360.0,67
4h,49496.171875,0.004901960784313725,360.0,68
